date_date,orders_id,products_id,turnover,qty,purchase_price,purchase_cost,product_margin,product_margin_percent
20/07/2021,938959,96003,3.43,1,2,2,1.43,0.42
11/09/2021,985122,96003,2.98,1,2,2,0.98,0.33
15/06/2021,907420,96003,2.81,1,2,2,0.81,0.29
23/06/2021,914794,96003,3.43,1,2,2,1.43,0.42
18/06/2021,909947,96003,2.97,1,2,2,0.97,0.33
22/08/2021,967274,96003,2.92,1,2,2,0.92,0.32
26/09/2021,997440,96003,2.92,1,2,2,0.92,0.32
17/06/2021,909182,96003,3.18,1,2,2,1.18,0.37
09/09/2021,983393,96003,2.98,1,2,2,0.98,0.33
30/06/2021,921714,96003,3.09,1,2,2,1.09,0.35
16/08/2021,961657,96003,3.43,1,2,2,1.43,0.42
25/07/2021,942961,77576,3.56,2,1,2,1.56,0.44
20/06/2021,911977,77576,3.56,2,1,2,1.56,0.44
23/08/2021,967613,77576,3.21,2,1,2,1.21,0.38
31/08/2021,975305,77576,3.21,2,1,2,1.21,0.38
01/09/2021,976491,77576,3.56,2,1,2,1.56,0.44
20/06/2021,911977,77577,3.56,2,1,2,1.56,0.44
23/08/2021,967613,77577,3.21,2,1,2,1.21,0.38
17/06/2021,909907,77577,3.05,2,1,2,1.05,0.34
31/08/2021,975305,77577,3.21,2,1,2,1.21,0.38
20/07/2021,939321,77577,2.35,2,1,2,0.35,0.15
02/08/2021,950490,126989,2.26,1,2,2,0.26,0.12
27/06/2021,917359,126989,2.26,1,2,2,0.26,0.12
30/06/2021,920855,126989,2.26,1,2,2,0.26,0.12
08/06/2021,901622,126989,2.55,1,2,2,0.55,0.22
04/09/2021,978796,126989,2.83,1,2,2,0.83,0.29
09/08/2021,956725,126989,2.26,1,2,2,0.26,0.12
07/08/2021,955056,126989,2.26,1,2,2,0.26,0.12
30/08/2021,973568,126989,2.83,1,2,2,0.83,0.29
24/08/2021,969380,126989,2.83,1,2,2,0.83,0.29
04/07/2021,924759,126989,2.26,1,2,2,0.26,0.12
12/08/2021,958705,126989,2.26,1,2,2,0.26,0.12
17/08/2021,963013,126989,2.83,1,2,2,0.83,0.29
20/07/2021,939711,77326,2.85,1,2,2,0.85,0.3
13/08/2021,959715,77326,2.85,1,2,2,0.85,0.3
04/06/2021,896785,77326,2.85,1,2,2,0.85,0.3
04/06/2021,896882,77326,2.85,1,2,2,0.85,0.3
28/07/2021,946655,77326,2.85,1,2,2,0.85,0.3
06/06/2021,899321,77326,2.85,1,2,2,0.85,0.3
10/06/2021,903367,77326,2.85,1,2,2,0.85,0.3
11/06/2021,903920,77326,2.85,1,2,2,0.85,0.3
09/08/2021,956867,77326,2.85,1,2,2,0.85,0.3
04/08/2021,952473,77326,2.85,1,2,2,0.85,0.3
24/08/2021,969350,77326,2.59,1,2,2,0.59,0.23
11/07/2021,931589,77326,2.85,1,2,2,0.85,0.3
05/08/2021,953592,77326,2.85,1,2,2,0.85,0.3
05/09/2021,979297,77326,2.85,1,2,2,0.85,0.3
13/08/2021,959790,77326,2.85,1,2,2,0.85,0.3
08/06/2021,901481,77326,2.85,1,2,2,0.85,0.3
06/08/2021,954189,77326,2.85,1,2,2,0.85,0.3
20/08/2021,964961,77326,2.85,1,2,2,0.85,0.3
06/07/2021,927175,77326,2.85,1,2,2,0.85,0.3
13/06/2021,905867,77326,2.85,1,2,2,0.85,0.3
18/06/2021,910104,77326,2.44,1,2,2,0.44,0.18
24/07/2021,942587,77326,2.85,1,2,2,0.85,0.3
28/08/2021,971717,77326,2.85,1,2,2,0.85,0.3
24/06/2021,915263,77326,2.85,1,2,2,0.85,0.3
05/08/2021,953176,77326,2.85,1,2,2,0.85,0.3
06/09/2021,980252,77326,2.85,1,2,2,0.85,0.3
09/09/2021,983625,77326,2.64,1,2,2,0.64,0.24
01/09/2021,976108,77326,2.85,1,2,2,0.85,0.3
06/07/2021,927195,77326,2.85,1,2,2,0.85,0.3
17/07/2021,936987,77326,2.85,1,2,2,0.85,0.3
